WizardCity/WC_Ravenwood_Teleporter;bartleby
Zafaria/Interiors/ZF_Z08_I08_Librarians_Hideout;waterfront bar
Zafaria/ZF_Z09_Drum_Jungle;Drum Jungle
Zafaria/ZF_Z10_Elephant_Graveyard;Elephant Graveyard
Zafaria/ZF_Z01_Baobab_Crown;Baobab Crown
Zafaria/ZF_Z03_Savannah;Savannah
Zafaria/ZF_Z05_Zamunda_Outskirts;Zamunda Outskirts
Zafaria/ZF_Z06_Zamunda;Zamunda
Zafaria/Interiors/ZF_Z06_I03_Magicians_House;Magicians House
Avalon/AV_Z00_Hub;caliburn
Avalon/AV_Z01_AbbeyRoad;Abbey Road
Avalon/AV_Z02_HighRoad;High Road
Avalon/AV_Z03_CaerLyon;Caer Lyon
Avalon/AV_Z04_TheWild;The Wild
Avalon/AV_Z05_TheWyrd;The Wyrd
Avalon/AV_Z06_DunDara;Dun Dara
Avalon/AV_Z07_OuterYard;Outer Yard
Avalon/AV_Z08_LakeShore;Lake Shore
Azteca/AZ_Z00_Zocalo;Zocalo
Azteca/AZ_Z03_MangroveMarsh;Mangrove Marsh
Azteca/AZ_Z04_SaltmeadowSwamp;Saltmeadow Swamp
Azteca/AZ_Z01_ThreePoints;Three Points
Azteca/AZ_Z11_TwinGiants;Twin Giants
Azteca/AZ_Z02_Cenote;Cenote
Azteca/AZ_Z05_ZultunDock;Zultun Dock
Azteca/AZ_Z06_CloudburstIsland;Cloudburst Island
Azteca/AZ_Z07_TierraDeBrea;Tierra De Brea
Azteca/AZ_Z09_AltoAlto;Alto Alto
Azteca/AZ_Z10_FloatingMountains;Floating Mountains
Khrysalis/KR_Z00_Hub;bastion
Khrysalis/Interiors/KR_Z00_I00_BenightedBurrow;Benighted Burrow
Khrysalis/KR_Z02_MoonCliffs;Moon Cliffs
Khrysalis/KR_Z03_LastWood;Last Wood
Khrysalis/KR_Z01_SilentMarket;Silent Market
Khrysalis/Interiors/KR_Z01_WarRoom;War Room
Khrysalis/KR_Z04_TyrianGorge;Tyrian Gorge
Khrysalis/KR_Z07_RuinedAlcazar;Ruine Alcazar
Khrysalis/KR_Z08_RadianceReborn;Radiance Reborn
Khrysalis/KR_Z09_MantisCity;sardonyx
Khrysalis/KR_Z10_KondhaDesert;Kondha Desert
Khrysalis/KR_Z11_TheHive;The Hive
Khrysalis/KR_Z05_FortRachias;Fort Rachias
Khrysalis/KR_Z06_CrescentBeach;Crescent Beach
Khrysalis/Interiors/KR_Z06_I01_Hermitcave;skull rock
Polaris/PL_Z00_Walruskberg;Walruskberg
Polaris/Interiors/PL_Z00_Palace_04B;imperial palace
Polaris/PL_Z01_Harbor;Walruskberg harbor
Polaris/Interiors/PL_Z01_I03_HeadQuarters_A;inspectors brigade headquarters
Polaris/PL_Z02_ForlornTaig;Forlorn Tayg
Polaris/Interiors/PL_Z02_BabaYagaHut_Int;baba yaga's house
Polaris/PL_Z03_IcefallPassage;river of frozen tears
Polaris/PL_Z04_UrvilleStation;Urville Station
Polaris/PL_Z05_FrigidMine;Frigid Mine
Polaris/Interiors/PL_Z06_GolemGarden;Golem Garden
Polaris/PL_Z06_KatabaIceblock;Kataba Iceblock
Polaris/Interiors/PL_Z06_TitanPod;kalypso dock
Polaris/PL_Z07_BorealisPeaks;Borealis Peaks
Polaris/Interiors/PL_Z07_SkyAnchorPeak;sky anchor
Mirage/MR_Z00_Hub;caravan
Mirage/MR_Z01_AlkaliBarrows;Alkali Barrows
Mirage/MR_Z03_CaterwaulCanyon;Caterwaul Canyon
Mirage/MR_Z07_ThievesDen;Thieves Den
Mirage/MR_Z09_ZruvanGrotto;Zruvan Grotto
Mirage/MR_Z04_RubalWastes;Rubal Wastes
Mirage/MR_Z05_Istanboa;Istanboa
Mirage/MR_Z06_YakhalMountain;Yakhal Mountain
Mirage/Interiors/MR_Z06_PrincessHovel;miriam ice princess
Mirage/MR_Z02_Aggrobah;Aggrobah
Mirage/MR_Z08_EeremPalace;Eerem Palace
Empyrea/EM_Z00_Aeriel_HUB;Aeriel Shore
Empyrea/EM_Z01_Jungle;Aeriel jungle
Empyrea/Interiors/EM_Z01_MonkeySpiderCave;Monkey Spider Cave
Empyrea/EM_Z02_Zanadu;Zanadu
Empyrea/Interiors/EM_Z02_Sewers; Zanadu Sewers
Empyrea/EM_Z03_OuterAthanor;Outer Athanor
Empyrea/EM_Z04_InnerAthanor;Inner Athanor
Empyrea/EM_Z05_Sepidious;Sepidious
Empyrea/Interiors/EM_Z05_NodoChord;The nodochord
Empyrea/EM_Z12_LandingZone;the mandalla
Empyrea/EM_Z13_SamsaraDestroyed;samsara village
Empyrea/EM_Z14_ChaosJungle;Chaos Jungle
Empyrea/EM_Z06_NimbusHanger;Nimbus Hanger
Empyrea/EM_Z07_NimbusCitadel;Nimbus Citadel
Empyrea/EM_Z10_PortAero;Port Aero
Empyrea/EM_Z08_SWAeroplains;Aero plains
Karamelle/KM_Z00_HUB;Karamelle City
Karamelle/KM_Z03_GumdropForest;Gumdrop Forest
Karamelle/KM_Z01_VonTrapEstate;Von Trap Estate
Karamelle/KM_Z04_Sweetzburg;Sweetzburg
Karamelle/KM_Z05_Nibbleheim;Nibbleheim
Karamelle/KM_Z06_Mines;Nibbleheim Mines
Karamelle/KM_Z07_Gutenstadt;Gutenstadt
Karamelle/KM_Z08_LicoriceForest;black Licorice Forest
Karamelle/Interiors/KM_Z08_ColaLake;Cola Lake
Karamelle/KM_Z09_CandyCornFarm;Candy Corn Farm
Karamelle/KM_Z10_Gobblerton;Gobblerton
Lemuria/LM_Z00_Hub;telos
Lemuria/LM_Z01_WildLands;WildLands
Lemuria/LM_Z02_UrsaiVillage;Ursai Village
Lemuria/LM_Z03_NightForest;Night Forest
Lemuria/LM_Z04_Badlands;Badlands
Lemuria/LM_Z05_Mandoria;_Mandoria
Lemuria/LM_Z06_SkyCity;Sky City
Lemuria/LM_Z07_Heap;Heap
Lemuria/Interiors/LM_Z00_I07_HallofHeroesOuter;Hall of Heroes
